# PrismNet Datasets with Zero Leakage (0.8 identity threshold)
# Total: 158/172 datasets (91.9%)
# Format: dataset | max_identity | mean_identity

AARS_K562.h5                   | 0.446 | 0.254
AATF_K562.h5                   | 0.446 | 0.258
ABCF1_K562.h5                  | 0.455 | 0.254
AGGF1_HepG2.h5                 | 0.455 | 0.258
AGO_HEK293.h5                  | 0.465 | 0.254
AKAP1_K562.h5                  | 0.475 | 0.255
AKAP8L_K562.h5                 | 0.465 | 0.257
ALKBH5_HEK293.h5               | 0.446 | 0.253
APOBEC3C_K562.h5               | 0.465 | 0.255
AQR_HepG2.h5                   | 0.455 | 0.259
ATXN2_HEK293T.h5               | 0.703 | 0.257
AUH_K562.h5                    | 0.495 | 0.259
BCCIP_HepG2.h5                 | 0.693 | 0.257
BCLAF1_HepG2.h5                | 0.455 | 0.257
BUD13_HepG2.h5                 | 0.455 | 0.262
CAPRIN1_HEK293.h5              | 0.455 | 0.253
CDC40_HepG2.h5                 | 0.436 | 0.259
CPEB4_K562.h5                  | 0.465 | 0.252
CPSF1_HEK293.h5                | 0.436 | 0.254
CPSF3_HEK293.h5                | 0.475 | 0.253
CPSF4_HEK293.h5                | 0.446 | 0.252
CPSF6_K562.h5                  | 0.624 | 0.252
CPSF7_HEK293.h5                | 0.446 | 0.256
CSTF2T_HepG2.h5                | 0.446 | 0.263
CSTF2_Hela.h5                  | 0.446 | 0.251
DDX21_K562.h5                  | 0.455 | 0.256
DDX3X_K562.h5                  | 0.446 | 0.256
DDX42_K562.h5                  | 0.703 | 0.254
DDX51_K562.h5                  | 0.495 | 0.259
DDX52_K562.h5                  | 0.465 | 0.257
DDX55_HepG2.h5                 | 0.475 | 0.257
DDX59_HepG2.h5                 | 0.485 | 0.260
DDX6_K562.h5                   | 0.446 | 0.254
DGCR8_K562.h5                  | 0.436 | 0.254
DHX30_K562.h5                  | 0.446 | 0.258
DKC1_HepG2.h5                  | 0.475 | 0.258
DROSHA_K562.h5                 | 0.475 | 0.260
EFTUD2_HepG2.h5                | 0.436 | 0.261
EIF3D_HepG2.h5                 | 0.733 | 0.258
EIF3H_HepG2.h5                 | 0.446 | 0.261
EIF4A3_Hela.h5                 | 0.446 | 0.256
EIF4G2_K562.h5                 | 0.436 | 0.255
ELAVL1_Hela.h5                 | 0.465 | 0.252
EXOSC5_HepG2.h5                | 0.465 | 0.263
