# PrismNet Datasets with Detected Leakage (>0.8 identity threshold)
# Total: 14/172 datasets (8.1%)
# Format: dataset | leakage% | pairs>0.8 | max_identity | mean_identity

U2AF2_Hela.h5                  |  0.02% |  2 pairs | 0.980 | 0.252
C17ORF85_HEK293.h5             |  0.01% |  1 pairs | 0.822 | 0.255
C22ORF28_HEK293.h5             |  0.01% |  1 pairs | 0.832 | 0.255
CPSF2_HEK293.h5                |  0.01% |  1 pairs | 0.812 | 0.253
DDX24_K562.h5                  |  0.01% |  1 pairs | 0.891 | 0.258
EIF3G_K562.h5                  |  0.01% |  1 pairs | 0.861 | 0.256
EWSR1_HEK293.h5                |  0.01% |  1 pairs | 0.832 | 0.253
HNRNPM_K562.h5                 |  0.01% |  1 pairs | 0.970 | 0.257
HNRNPU_Hela.h5                 |  0.01% |  1 pairs | 0.970 | 0.252
LSM11_K562.h5                  |  0.01% |  1 pairs | 0.941 | 0.257
NKRF_HepG2.h5                  |  0.01% |  1 pairs | 0.970 | 0.259
NOL12_HepG2.h5                 |  0.01% |  1 pairs | 0.911 | 0.264
NOP56_HEK293.h5                |  0.01% |  1 pairs | 0.851 | 0.253
PABPN1_HepG2.h5                |  0.01% |  1 pairs | 0.802 | 0.263
